Province,risk_score,Total_Budget,norm_risk,norm_budget,Matrix_Scenario
Aklan,0.1483,2701929990.0,0.7066041898911307,0.4408292799023638,"Bad: High risk, low budget"
Albay,0.1212,15132177839.37,0.6694765501733336,0.7700552686846883,"Ideal: High risk, high budget"
Apayao,0.094,1646730917.97,0.6228058572909457,0.34620492883793813,"Ideal: Low risk, low budget"
Aurora,0.0271,3033267182.53,0.39701577944604904,0.46293377270138375,"Ideal: Low risk, low budget"
Bataan,0.1721,3622958311.36,0.7340213204285059,0.4968815618841191,"Bad: High risk, low budget"
Batangas,0.1007,6822239815.0,0.6354383129987249,0.617823753977881,"Bad: Low risk, high budget"
Benguet,0.0315,2363448090.5,0.42398039745794286,0.4152524867150514,"Ideal: Low risk, low budget"
Bohol,0.042,4613036821.04,0.4758741800113026,0.5430487743761643,"Bad: Low risk, high budget"
Bukidnon,0.1636,7336783669.25,0.7246881563132586,0.6317186475258513,"Ideal: High risk, high budget"
Bulacan,0.3759,43171014042.65,0.8782529609312603,0.9703868513577243,"Ideal: High risk, high budget"
Cagayan,0.3076,6673995320.0,0.8411929220460573,0.6136256011191815,"Ideal: High risk, high budget"
Capiz,0.1255,1225299521.8899999,0.675886951943851,0.28971654151492987,"Bad: High risk, low budget"
Catanduanes,0.0784,1681952836.52,0.5895560029941176,0.3502491185756345,"Ideal: Low risk, low budget"
Cavite,0.3289,10408327831.44,0.8535646163129273,0.6985449662510947,"Ideal: High risk, high budget"
Cebu,0.0326,25693346472.86,0.4301503328871496,0.8712215633595733,"Bad: Low risk, high budget"
Cotabato,0.2551,3339037274.75,0.806627108689902,0.4812867691436577,"Bad: High risk, low budget"
Ifugao,0.0466,1379545169.55,0.4947129495198874,0.31237416223053305,"Ideal: Low risk, low budget"
Iloilo,0.1703,6795479035.6,0.732083727171507,0.6170727023441314,"Ideal: High risk, high budget"
Isabela,0.4152,21426448948.86,0.8966382193323985,0.8365179273455421,"Ideal: High risk, high budget"
Kalinga,0.1501,987998127.34,0.7088255914492642,0.24858189449571536,"Bad: High risk, low budget"
Laguna,0.1653,8612567310.0,0.7265927628600412,0.6623550446082422,"Ideal: High risk, high budget"
Leyte,0.2429,12776000901.25,0.7975796765701437,0.7377118221870311,"Ideal: High risk, high budget"
Marinduque,0.1162,4245409785.19,0.661732675510796,0.5271788732160431,"Bad: High risk, low budget"
Palawan,0.0636,4416195766.64,0.5513189197498578,0.5347156378167902,"Bad: Low risk, high budget"
Pampanga,0.7259,14541420868.09,1.0,0.7624455103496945,"Ideal: High risk, high budget"
Pangasinan,0.3171,13692562989.81,0.8468130535392431,0.7509515797867091,"Ideal: High risk, high budget"
Quezon,0.1071,6331899677.2699995,0.6467508120529077,0.6035705952814007,"Ideal: High risk, high budget"
Quirino,0.0813,269034200.0,0.5962054242125263,0.0,"Ideal: Low risk, low budget"
Rizal,0.1168,5741049855.0,0.6626792038676655,0.5848514654963198,"Ideal: High risk, high budget"
Samar,0.0411,2304057744.54,0.4719533461576681,0.4103892067985731,"Ideal: Low risk, low budget"
Sarangani,0.0175,2649391750.0,0.31953492829189745,0.4370769306572265,"Ideal: Low risk, low budget"
Sorsogon,0.0567,5810467883.21,0.530381008058643,0.587148213216251,"Bad: Low risk, high budget"
Tarlac,0.3341,18379381704.69,0.8564635604590747,0.8072049035730059,"Ideal: High risk, high budget"
Zambales,0.2062,4510680791.85,0.7673520895839167,0.5387609730227009,"Ideal: High risk, high budget"
Camarines Sur,0.281,17388863578.36,0.8244846550556744,0.7966184453297528,"Ideal: High risk, high budget"
Metro Manila,0.5529,50407324027.44,0.9496178906242655,1.0,"Ideal: High risk, high budget"
Camarines Norte,0.1708,4245586035.85,0.7326239822914742,0.5271868063897995,"Bad: High risk, low budget"
Davao del Norte,0.0668,1949178908.0,0.5602807327295942,0.37842629984056675,"Ideal: Low risk, low budget"
Davao del Sur,0.1105,7084241310.0,0.6524910591106245,0.6250250846489687,"Ideal: High risk, high budget"
Davao Oriental,0.0629,3314803915.0,0.5492993981342542,0.4798948373326979,"Ideal: Low risk, low budget"
Dinagat Islands,0.0529,502934840.0,0.5177529483549353,0.11955202411125404,"Ideal: Low risk, low budget"
South Cotabato,0.0892,3542594473.24,0.6131953386559553,0.49259505009799254,"Ideal: Low risk, low budget"
Lanao del Norte,0.0646,2802173144.54,0.5541663090799738,0.4477905907648727,"Ideal: Low risk, low budget"
Zamboanga Sibugay,0.0426,1357899280.37,0.4784427393621123,0.30935202619771557,"Ideal: Low risk, low budget"
Zamboanga del Sur,0.0546,1571725662.01,0.5235089246410568,0.33729657361602217,"Ideal: Low risk, low budget"
Zamboanga del Norte,0.0512,1316981902.96,0.5118124893398411,0.3035053100018182,"Ideal: Low risk, low budget"
Surigao del Sur,0.2485,3967782215.86,0.8017874934250054,0.5142550517515434,"Bad: High risk, low budget"
Surigao del Norte,0.0594,5330896015.05,0.5388579429127976,0.5706871221006419,"Bad: Low risk, high budget"
Sultan Kudarat,0.1174,2931642985.69,0.663620923422982,0.45642183728059865,"Bad: High risk, low budget"
Southern Leyte,0.0316,2276944318.83,0.42454986457387084,0.40812714837010367,"Ideal: Low risk, low budget"
Nueva Vizcaya,0.0091,5350209880.0,0.20734766396037668,0.571378202036942,"Bad: Low risk, high budget"
Nueva Ecija,0.3719,9477595518.42,0.8762752265070404,0.6806442135779317,"Ideal: High risk, high budget"
Negros Oriental,0.0506,4310064915.64,0.5096695591093213,0.5300671711552692,"Bad: Low risk, high budget"
Negros Occidental,0.1599,10810344350.94,0.720473921454306,0.7057868660467089,"Ideal: High risk, high budget"
Mountain Province,0.0023,1676307441.6,0.0,0.349606645065272,"Ideal: Low risk, low budget"
Misamis Oriental,0.0697,12649567070.0,0.5680442943227758,0.7358113082596661,"Bad: Low risk, high budget"
Misamis Occidental,0.0816,835899300.0,0.596879875170482,0.21663636615369022,"Ideal: Low risk, low budget"
Ilocos Sur,0.3145,4363008385.07,0.8452917708804583,0.5324001973599831,"Ideal: High risk, high budget"
La Union,0.4366,10963398302.62,0.9059321170834088,0.7084734069441958,"Ideal: High risk, high budget"
Lanao del Sur,0.0333,556010000.0,0.43397235283915614,0.13872355854382432,"Ideal: Low risk, low budget"
Ilocos Norte,0.3836,9716592647.53,0.8820016974526285,0.685403263097401,"Ideal: High risk, high budget"
Eastern Samar,0.09,715743409.99,0.6148320945484975,0.18698132407591195,"Ideal: Low risk, low budget"
